BRI306,nonummy maecenas,5
LTQ006,lobortis,5
OZU974,fusce congue diam,3
DXQ633,amet eros suspendisse,5
MVF839,cum sociis natoque,4
EPG843,quam nec,4
MKJ441,id,3
KKO305,ultrices posuere cubilia,2
PPC248,suspendisse potenti,2
STR413,hac,4
OLM203,elit proin,3
EPW314,id lobortis convallis,5
LMH532,posuere cubilia curae,1
JVG569,sed,1
XRX934,nisi eu orci,4
MNU873,accumsan,5
YSO505,ligula pellentesque ultrices,4
FGW555,tellus,2
UFC982,nibh in quis,4
QUC181,integer pede,2
SZD277,amet consectetuer adipiscing,1
XDN211,donec ut,2
VJD160,tellus in sagittis,2
AQK956,diam erat fermentum,2
PNT267,tincidunt in leo,4
MGQ663,convallis morbi odio,2
LDC119,duis consequat,4
AWE736,primis in,4
LTQ018,augue vel accumsan,5
BYA627,pede lobortis ligula,1
AEX398,vestibulum velit,2
KZQ612,sit amet sem,4
JYG551,lectus vestibulum,5
QQM974,fusce,5
JUN888,faucibus,1
VCB800,elementum,4
GTK776,ipsum primis,1
ERK323,metus arcu adipiscing,1
HAL149,et,2
ZOY144,lorem,1
NWZ925,mauris eget,3
XQN729,iaculis justo,4
YLW690,phasellus,1
VGO073,pede venenatis,3
OTW194,ante ipsum primis,3
DBG948,vitae,2
CUP040,integer,5
LYT912,penatibus et magnis,3
PHB707,justo sollicitudin ut,3
WEN525,nulla pede ullamcorper,2
YQE037,ipsum integer a,1
GRM510,quam pharetra magna,2
ODH351,nulla,1
YJO018,proin,4
RJZ266,aliquam non,2
QJT685,cursus,5
BIE223,in,1
ERG296,justo eu,4
WNL351,nulla,5
QGK336,felis sed,4
UTY865,mauris non,2
PKG233,gravida,3
WXV677,tellus,3
KPC416,vestibulum ante,2
QIX309,ut,5
RLR295,tempus,3
MEO514,donec ut,5
MMQ140,fusce lacus,5
YLI680,condimentum,2
YOO618,maecenas tincidunt,1
RDW126,et magnis dis,1
YEC713,adipiscing elit,3
RPR458,orci eget,4
OLM017,ut rhoncus,2
WFZ093,bibendum felis sed,1
UEZ566,purus,5
NJM778,amet justo,3
FAO108,sapien iaculis congue,4
DYN965,sed ante vivamus,5
QRF582,habitasse platea dictumst,5
VSS596,morbi vel,1
WCZ531,in consequat,3
OOQ876,a suscipit,4
SVH415,eu,4
EQN175,nisi,4
YBC652,nulla nunc,3
TCF896,sapien varius,3
BJF336,quam pede,2
ZQE279,eu nibh,2
UHB133,elementum eu,2
KET809,eget rutrum at,2
VIC109,in tempus sit,4
XTO431,orci nullam,3
XWH704,ac,4
TBP936,porta volutpat,3
ICO544,facilisi,3
NUH862,ipsum primis,5
QWZ543,praesent lectus vestibulum,2
OTP835,nam congue,2
FWR639,lorem vitae mattis,5
